================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=unigram_football, v=2, w=0.2388238680134326, v*w=0.4776477360268652
f=bigram_people_playing, v=1, w=0.3108900379198052, v*w=0.3108900379198052
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_people, v=1, w=0.28882961393253187, v*w=0.28882961393253187
f=bigram_football_., v=1, w=0.24224548351228203, v*w=0.24224548351228203
f=unigram_member, v=1, w=0.14142548260601168, v*w=0.14142548260601168
f=bigram_a_football, v=1, w=0.12104029637551994, v*w=0.12104029637551994
f=bigram_member_of, v=1, w=0.0911330839766792, v*w=0.0911330839766792
f=bigram_of_the, v=1, w=0.07689738611852188, v*w=0.07689738611852188
f=bigram_playing_football, v=1, w=0.07493669276630868, v*w=0.07493669276630868
f=unigram_player, v=1, w=0.07303676428895528, v*w=0.07303676428895528
f=bigram_football_player, v=1, w=0.03480224763529962, v*w=0.03480224763529962
f=unigram_playing, v=1, w=0.030992236070607, v*w=0.030992236070607
f=unigram_tackles, v=1, w=0, v*w=0
f=bigram_tackles_an, v=1, w=0, v*w=0
f=bigram_an_member, v=1, w=0, v*w=0
f=bigram_player_tackles, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=unigram_opposing, v=1, w=-0.01096360054581086, v*w=-0.01096360054581086
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=bigram_the_opposing, v=1, w=-0.07309710864614796, v*w=-0.07309710864614796
f=bigram_opposing_team, v=1, w=-0.0787418661645387, v*w=-0.0787418661645387
f=unigram_an, v=1, w=-0.1150717082369504, v*w=-0.1150717082369504
f=unigram_team, v=1, w=-0.16884224856879587, v*w=-0.16884224856879587
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=bigram_team_., v=1, w=-0.3667332502199456, v*w=-0.3667332502199456
================================================================================
P: An older gentleman speaking at a podium .
H: A man giving a speech
label=0, predicted=1, wrong
f=unigram_speaking, v=1, w=0.23111125797147053, v*w=0.23111125797147053
f=bigram_a_man, v=1, w=0.16304572728321168, v*w=0.16304572728321168
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=bigram_man_giving, v=1, w=0.14854326581084148, v*w=0.14854326581084148
f=bigram_a_speech, v=1, w=0.12011375226456825, v*w=0.12011375226456825
f=unigram_man, v=1, w=0.09125296665009319, v*w=0.09125296665009319
f=unigram_gentleman, v=1, w=0.08539332573733056, v*w=0.08539332573733056
